tid,day,side,K,Kl,credit,qty,ex_min,actual_pnl,held_pnl,settle_ok,sigma,era,pnl_headline,pnl_actual_bs,pnl_chain,chain_ok
30,2025-03-03,c,5995.0,6035.0,3037.5000000000005,15,390,3037.5000000000005,3037.5000000000005,1,0.1784,HELDOUT,2784.7577852698573,3037.5000000000005,-187.49999999999955,True
31,2025-03-04,c,5845.0,5885.0,3187.5,15,149,225.00000000000045,3187.5,1,0.2214,HELDOUT,3150.944784430298,3147.8214852374135,-449.99999999999955,True
32,2025-03-04,p,5760.0,5720.0,1987.5,15,370,1125.0,1987.5,1,0.2214,HELDOUT,1986.2328276932249,1987.4999868535358,525.0000000000002,True
33,2025-03-05,c,5840.0,5880.0,3112.5,15,150,-2250.0,1687.5000000002728,0,0.2469,HELDOUT,3045.828982784146,2537.838875544734,-525.0000000000005,True
34,2025-03-05,p,5750.0,5710.0,2287.5000000000005,15,393,2287.5000000000005,2287.5000000000005,1,0.2469,HELDOUT,2287.260969816409,2287.5000000000005,1387.5000000000005,True
35,2025-03-06,p,5705.0,5665.0,3037.5000000000005,15,143,-2774.9999999999995,3037.5000000000005,1,0.21899999999999997,HELDOUT,3003.5626780072257,2701.9540015008297,-787.5,True
36,2025-03-06,c,5825.0,5865.0,2512.5000000000005,15,319,525.0000000000009,2512.5000000000005,1,0.21899999999999997,HELDOUT,2511.351898565196,2512.4983762076113,112.50000000000091,True
37,2025-03-10,c,5765.0,5805.0,3262.4999999999995,15,127,674.9999999999995,3262.4999999999995,1,0.2437,HELDOUT,3209.9934830165316,3245.889061321166,0.0,True
38,2025-03-11,c,5670.0,5710.0,3262.5000000000005,15,292,1650.0000000000005,3262.5000000000005,1,0.2846,HELDOUT,3103.5299053476815,3261.548529972129,375.0000000000009,True
39,2025-03-12,c,5665.0,5705.0,3262.5000000000005,15,136,-599.9999999999991,3262.5000000000005,1,0.30010000000000003,HELDOUT,2891.1585712260185,2831.603699692188,337.5000000000009,True
40,2025-03-13,c,5615.0,5655.0,2737.5,15,393,2737.5,2737.5,1,0.22579999999999997,HELDOUT,2714.0416378154337,2737.5,0.0,True
41,2025-03-14,p,5550.0,5510.0,2062.5,15,390,2062.5,2062.5,1,0.2334,HELDOUT,2062.298999442307,2062.5,1612.5,True
42,2025-03-18,c,5665.0,5705.0,2362.5,15,164,-600.0000000000005,2362.5,1,0.16,HELDOUT,2344.472450567877,2316.931413611877,-225.00000000000045,True
43,2025-03-20,p,5625.0,5585.0,2437.5,15,177,-150.0,2437.5,1,0.1841,HELDOUT,2417.2697231626644,2349.704399604746,937.5,True
44,2025-03-21,p,5580.0,5540.0,2437.5,15,394,2437.5,2437.5,1,0.18780000000000002,HELDOUT,2437.249291829783,2437.5,1912.5,True
45,2025-03-24,p,5710.0,5670.0,1612.5000000000002,15,245,750.0000000000003,1612.5000000000002,1,0.16140000000000002,HELDOUT,1612.4435441572755,1594.7232953742289,1537.5000000000002,True
46,2025-03-25,p,5740.0,5700.0,1612.5000000000002,15,144,-374.9999999999998,1612.5000000000002,1,0.1303,HELDOUT,1594.6097573443276,1383.2284929981226,1087.5000000000002,True
47,2025-03-26,c,5790.0,5830.0,1912.5,15,391,1912.5,1912.5,1,0.1164,HELDOUT,1737.3846570594676,1912.5,-187.5,True
48,2025-03-27,p,5650.0,5610.0,2587.4999999999995,15,131,824.9999999999998,2587.4999999999995,1,0.16140000000000002,HELDOUT,2569.773879448165,2563.904260091885,1162.4999999999995,True
49,2025-03-28,c,5660.0,5700.0,1912.4999999999995,15,391,1912.4999999999995,1912.4999999999995,1,0.1673,HELDOUT,1876.0094709419625,1912.4999999999995,-2.2737367544323206e-13,True
50,2025-03-31,p,5465.0,5425.0,2437.5,15,393,2437.5,2437.5,1,0.24480000000000002,HELDOUT,2437.4444023118126,2437.5,2175.0,True
51,2025-04-02,p,5545.0,5505.0,2962.5,15,391,2962.5,2962.5,1,0.1925,HELDOUT,2961.828992092884,2962.5,1762.5,True
52,2025-04-03,c,5535.0,5575.0,2962.4999999999995,15,164,-2175.0000000000005,2962.4999999999995,1,0.3069,HELDOUT,2922.04753929296,2360.0457633978285,1312.4999999999993,True
53,2025-04-04,c,5315.0,5355.0,4237.5,15,391,4237.5,4237.5,1,0.3235,HELDOUT,4234.839569301718,4237.5,300.0,True
54,2025-04-07,p,4830.0,4790.0,4462.499999999998,15,199,-75.00000000000182,4462.499999999998,1,0.7476999999999999,HELDOUT,4347.482965799363,3977.995567734896,487.5,True
55,2025-04-08,c,5285.0,5325.0,3862.499999999999,15,392,3862.499999999999,3862.499999999999,1,0.6936,HELDOUT,3739.24762931002,3862.499999999999,2549.999999999999,True
56,2025-04-09,p,4885.0,4845.0,3112.5,15,391,3112.5,3112.5,1,0.7214,HELDOUT,3112.4780038697554,3112.5,2212.5,True
57,2025-04-10,c,5435.0,5475.0,3262.4999999999995,15,299,-450.0,3262.4999999999995,1,0.5209,HELDOUT,3099.688291732058,3261.261682810242,637.4999999999995,True
58,2025-04-14,c,5470.0,5510.0,2812.5,15,293,1124.9999999999998,2812.5,1,0.5188,HELDOUT,2812.4896342218854,499.002591984688,,False
59,2025-04-15,c,5455.0,5495.0,2587.5000000000005,15,391,2587.5000000000005,2587.5000000000005,1,0.2798,HELDOUT,1284.8899201409126,2587.5000000000005,-450.0,True
60,2025-04-16,p,5285.0,5245.0,2962.5,15,139,-2324.999999999999,-10147.499999999673,0,0.251,HELDOUT,-10147.499999999673,2579.64101583856,-10147.499999999673,True
61,2025-04-16,c,5370.0,5410.0,2212.5000000000005,15,393,2212.5000000000005,2212.5000000000005,1,0.251,HELDOUT,2210.9323911686774,2212.5000000000005,337.5000000000009,True
62,2025-04-17,c,5350.0,5390.0,2737.5,15,98,-2025.000000000001,2737.5,1,0.33649999999999997,HELDOUT,2139.6580322020754,339.34239951921745,225.0,True
63,2025-04-17,p,5240.0,5200.0,3112.5,15,346,2250.0,3112.5,1,0.33649999999999997,HELDOUT,3089.720870878656,3105.52375616678,2062.5,True
64,2025-04-21,c,5235.0,5275.0,2287.5,15,391,2287.5,2287.5,1,0.3226,HELDOUT,1888.4862807750092,2287.5,224.99999999999955,True
65,2025-04-23,c,5470.0,5510.0,2887.5000000000005,15,209,-299.99999999999955,2887.5000000000005,1,0.2887,HELDOUT,2825.9592012793546,2843.0901681051214,375.0000000000009,True
66,2025-04-24,p,5325.0,5285.0,3187.5000000000005,15,393,3187.5000000000005,3187.5000000000005,1,0.2974,HELDOUT,3165.777834715861,3187.5000000000005,1350.0,True
67,2025-04-25,p,5450.0,5410.0,1987.5,15,261,-750.0,1987.5,1,0.262,HELDOUT,1987.384331226026,1733.6953947512732,1725.0,True
68,2025-04-28,c,5565.0,5605.0,2512.5,15,350,2175.0,2512.5,1,0.2328,HELDOUT,2473.2246991243996,2512.4021020198134,1725.0,True
69,2025-04-30,p,5425.0,5385.0,2587.5,15,183,300.0,2587.5,1,0.2177,HELDOUT,2586.7591638299323,2571.8369704464444,1387.5,True
70,2025-05-01,p,5560.0,5520.0,2212.5,15,144,225.00000000000045,2212.5,1,0.2396,HELDOUT,2212.41417551729,1996.6359137326854,1912.5,True
71,2025-05-02,p,5605.0,5565.0,2137.4999999999995,15,393,2137.4999999999995,2137.4999999999995,1,0.2692,HELDOUT,2137.3516226171782,2137.4999999999995,1987.4999999999995,True
72,2025-05-08,c,5715.0,5755.0,3112.5,15,64,-2024.999999999999,3112.5,1,0.1981,HELDOUT,2977.033951485433,2586.887043236122,-37.50000000000091,True
73,2025-05-08,p,5675.0,5635.0,1162.5,15,338,-1050.0,-15547.500000000491,0,0.1981,HELDOUT,1162.2179560475772,939.8289148650656,525.0,True
74,2025-05-09,c,5730.0,5770.0,1087.4999999999998,15,390,1087.4999999999998,1087.4999999999998,1,0.1873,HELDOUT,1013.6722136695721,1087.4999999999998,37.49999999999977,True
75,2025-05-12,p,5795.0,5755.0,1087.4999999999998,15,392,1087.4999999999998,1087.4999999999998,1,0.2591,HELDOUT,1087.4999952206108,1087.4999999999998,1087.4999999999998,True
76,2025-05-13,p,5820.0,5780.0,1912.4999999999995,15,391,1912.4999999999995,1912.4999999999995,1,0.175,HELDOUT,1912.492520770678,1912.4999999999995,1762.4999999999995,True
77,2025-05-15,p,5830.0,5790.0,1912.4999999999995,15,390,1912.4999999999995,1912.4999999999995,1,0.152,HELDOUT,1912.4669710260073,1912.4999999999995,1574.9999999999995,True
78,2025-05-16,p,5900.0,5860.0,1312.5000000000002,15,390,1312.5000000000002,1312.5000000000002,1,0.1463,HELDOUT,1312.4613207693403,1312.5000000000002,1125.0000000000002,True
79,2025-05-19,p,5875.0,5835.0,1537.5,15,393,1537.5,1537.5,1,0.13119999999999998,HELDOUT,1533.9283794935805,1537.5,-150.0,True
80,2025-05-20,p,5910.0,5870.0,1612.5000000000002,15,120,-150.0,1612.5000000000002,1,0.1286,HELDOUT,1606.2362323259358,1484.8176211959249,150.0,True
81,2025-05-21,p,5875.0,5835.0,1837.5,15,227,-2700.0,-44407.49999999989,0,0.12960000000000002,HELDOUT,1826.4514735888781,1806.869181018534,675.0,True
82,2025-05-21,c,5895.0,5935.0,2437.5,15,393,2437.5,2437.5,1,0.12960000000000002,HELDOUT,2427.4700566579186,2437.5,75.0,True
83,2025-05-22,p,5800.0,5760.0,3037.4999999999995,15,137,599.9999999999995,3037.4999999999995,1,0.17620000000000002,HELDOUT,2001.6557190753665,2925.7532465217596,-2662.5000000000005,True
84,2025-05-23,p,5730.0,5690.0,3037.5000000000005,15,392,3037.5000000000005,3037.5000000000005,1,0.1629,HELDOUT,3037.3544432523563,3037.5000000000005,2250.0000000000005,True
85,2025-05-27,p,5880.0,5840.0,1537.5,15,390,1537.5,1537.5,1,0.2118,HELDOUT,1537.4879893564919,1537.5,,False
86,2025-05-28,c,5955.0,5995.0,1462.5,15,391,1462.5,1462.5,1,0.1257,HELDOUT,1195.5635205110723,1462.5,-337.49999999999955,True
87,2025-05-29,c,5965.0,6005.0,2437.5,15,213,1650.0,2437.5,1,0.1916,HELDOUT,1940.1148252678381,2388.1041759035115,-225.0,True
88,2025-05-30,p,5850.0,5810.0,2362.5,15,173,-4350.0,2362.5,1,0.1689,HELDOUT,2362.4362956851637,1399.3375392022745,1237.5,True
89,2025-05-30,c,5910.0,5950.0,1987.5,15,284,-3074.999999999999,1987.5,1,0.1689,HELDOUT,1977.9919258670564,1472.133585683997,-75.0,True
90,2025-06-04,c,6005.0,6045.0,1462.5,15,211,300.0,1462.5,1,0.11699999999999999,HELDOUT,1332.0411407547679,1265.5147760582652,150.0,True
91,2025-06-09,p,5985.0,5945.0,1312.4999999999998,15,377,1199.9999999999998,1312.4999999999998,1,0.1414,HELDOUT,1312.2792072721766,1312.4999890640704,1087.4999999999998,True
92,2025-06-12,p,5975.0,5935.0,1837.5,15,393,1837.5,1837.5,1,0.1376,HELDOUT,1817.4728309498762,1837.5,637.4999999999998,True
93,2025-06-13,c,6025.0,6065.0,1912.5,15,86,-4500.0,1912.5,1,0.1251,HELDOUT,1760.6998840894498,780.5893129436029,-450.00000000000045,True
94,2025-06-13,p,5975.0,5935.0,1312.5000000000002,15,220,-1274.9999999999993,1312.5000000000002,1,0.1251,HELDOUT,1307.3222987266513,1280.333014992382,-112.49999999999977,True
95,2025-06-17,p,5975.0,5935.0,1462.5,15,73,-525.0,1462.5,1,0.1245,HELDOUT,1446.7592263658744,1325.4609606251256,150.0,True
96,2025-06-17,c,6030.0,6070.0,862.5,15,390,862.5,862.5,1,0.1245,HELDOUT,811.1960890303932,862.5,187.5,True
97,2025-06-20,c,6035.0,6075.0,1837.5,15,391,1837.5,1837.5,1,0.2232,HELDOUT,1801.0747398315793,1837.5,1762.5,True
98,2025-06-24,p,6040.0,6000.0,1012.5,15,394,1012.5,1012.5,1,0.1343,HELDOUT,988.1789262327276,1012.5,412.5,True
99,2025-06-25,c,6120.0,6160.0,1312.5,15,391,1312.5,1312.5,1,0.113,HELDOUT,845.4029824343074,1312.5,-37.49999999999977,True
100,2025-06-26,p,6085.0,6045.0,1012.5,15,390,1012.5,1012.5,1,0.09939999999999999,HELDOUT,1012.3112358855008,1012.5,637.5,True
101,2025-06-27,p,6135.0,6095.0,1162.5,15,255,-2.2737367544323206e-13,1162.5,1,0.1067,HELDOUT,1162.3741873675774,1158.4833961884947,862.5,True
102,2025-06-30,c,6215.0,6255.0,1687.5000000000002,15,121,-299.9999999999993,1687.5000000000002,1,0.1215,HELDOUT,1670.0153507722457,1319.2924927881984,1087.5000000000002,True
103,2025-07-01,c,6210.0,6250.0,1237.5,15,113,-1425.0,1237.5,1,0.1001,HELDOUT,-275.85589903653477,-275.85589903653477,-1650.0000000000005,True
104,2025-07-01,p,6180.0,6140.0,1012.5,15,330,-75.0,1012.5,1,0.1001,HELDOUT,1012.4560517599375,995.659217735274,562.5,True
105,2025-07-02,p,6165.0,6125.0,1387.5,15,391,1387.5,1387.5,1,0.09300000000000001,HELDOUT,1351.6346978349518,1387.5,112.50000000000023,True
106,2025-07-07,c,6280.0,6320.0,862.5000000000001,15,390,862.5000000000001,862.5000000000001,1,0.1425,HELDOUT,853.2502283108414,862.5000000000001,487.5000000000001,True
107,2025-07-08,c,6250.0,6290.0,1387.5,15,136,-900.0,1387.5,1,0.111,HELDOUT,979.8417828576214,463.06605266625684,-37.50000000000023,True
108,2025-07-09,c,6270.0,6310.0,787.4999999999999,15,220,-75.0,787.4999999999999,1,0.0992,HELDOUT,686.1042346761467,720.0389138975974,-150.0000000000001,True
