tid,day,side,K,Kl,credit,qty,ex_min,actual_pnl,held_pnl,settle_ok,sigma,era,pnl_headline,pnl_actual_bs,pnl_chain,chain_ok
163,2025-10-02,c,6740.0,6780.0,1387.5,15,253,900.0,1387.5,1,0.1026,HELDOUT,634.5601594487919,1345.5121730653918,-187.49999999999977,True
164,2025-10-03,p,6710.0,6670.0,1312.4999999999998,15,213,-75.00000000000045,1312.4999999999998,1,0.1057,HELDOUT,1302.4277391424605,766.2941395152396,,False
165,2025-10-03,c,6745.0,6785.0,562.5,15,292,-600.0,562.5,1,0.1057,HELDOUT,559.6973261966118,513.8100004070559,,False
166,2025-10-06,p,6715.0,6675.0,1162.5,15,390,1162.5,1162.5,1,0.11349999999999999,HELDOUT,1161.8261980411453,1162.5,,False
167,2025-10-07,c,6765.0,6805.0,1012.5,15,390,1012.5,1012.5,1,0.08650000000000001,HELDOUT,887.2381918560792,1012.5,187.4999999999999,True
168,2025-10-08,p,6695.0,6655.0,1387.5,15,390,1387.5,1387.5,1,0.1075,HELDOUT,1386.7754974183108,1387.5,1012.5,True
169,2025-10-09,c,6765.0,6805.0,937.5,15,390,937.5,937.5,1,0.0971,HELDOUT,384.60311458234617,937.5,112.49999999999989,True
170,2025-10-10,c,6705.0,6745.0,1537.4999999999998,15,394,1537.4999999999998,1537.4999999999998,1,0.1133,HELDOUT,1537.380237010746,1537.4999999999998,-150.00000000000023,True
171,2025-10-15,p,6650.0,6610.0,1612.5000000000002,15,103,-524.9999999999998,1612.5000000000002,1,0.1723,HELDOUT,1308.104232015847,1335.3501257863884,-1012.4999999999989,True
172,2025-10-15,c,6710.0,6750.0,1312.5,15,391,1312.5,1312.5,1,0.1723,HELDOUT,982.0171888360101,1312.5,-37.49999999999977,True
173,2025-10-16,c,6720.0,6760.0,2662.5,15,391,2662.5,2662.5,1,0.16570000000000001,HELDOUT,2300.3317086186594,2662.5,300.0,True
174,2025-10-17,p,6570.0,6530.0,2287.4999999999995,15,390,2287.4999999999995,2287.4999999999995,1,0.21660000000000001,HELDOUT,2287.387098581338,2287.4999999999995,1799.9999999999995,True
175,2025-10-20,p,6690.0,6650.0,1087.5000000000002,15,390,1087.5000000000002,1087.5000000000002,1,0.18420000000000003,HELDOUT,1087.4244678416826,1087.5000000000002,1087.5000000000002,True
176,2025-10-22,c,6745.0,6785.0,2062.5,15,394,2062.5,2062.5,1,0.10550000000000001,HELDOUT,1805.7459070959517,2062.5,-300.0,True
177,2025-10-24,p,6760.0,6720.0,1312.5,15,135,-750.0,1312.5,1,0.1362,HELDOUT,1312.4908170514916,1002.8213064118884,1162.5,True
178,2025-10-27,p,6815.0,6775.0,1387.5,15,53,-1125.0,1387.5,1,0.147,HELDOUT,1387.4780896400096,-175.89997962955294,1237.5,True
179,2025-11-05,p,6755.0,6715.0,2287.5,15,388,2175.0,2287.5,1,0.1477,HELDOUT,1753.7282641503057,2287.5,-562.5,True
180,2025-11-06,c,6760.0,6800.0,2962.5,15,246,-2700.0,2962.5,1,0.1208,HELDOUT,2885.3674146499484,2638.5491756403703,-149.99999999999955,True
181,2025-11-07,c,6715.0,6755.0,3112.5,15,225,1875.0,-17917.500000000655,0,0.1613,HELDOUT,3086.373335402186,3076.416237696413,1387.4999999999998,True
182,2025-11-10,c,6815.0,6855.0,1237.5000000000002,15,149,-1049.9999999999998,-23992.499999999563,0,0.1649,HELDOUT,-23992.499999999563,-1104.635599672685,-23992.499999999563,True
183,2025-11-10,p,6815.0,6775.0,712.5,15,395,712.5,712.5,1,0.1649,HELDOUT,712.4716022683788,712.4999630013151,712.5,True
184,2025-11-11,c,6850.0,6890.0,937.5,15,112,-600.0,937.5,1,0.1168,HELDOUT,180.0256118516187,152.5671049894978,-262.5,True
185,2025-11-11,p,6800.0,6760.0,1162.5,15,392,1162.5,1162.5,1,0.1168,HELDOUT,1155.698104734646,1162.5,637.5,True
186,2025-11-13,c,6830.0,6870.0,1537.4999999999998,15,393,1537.4999999999998,1537.4999999999998,1,0.1161,HELDOUT,1534.6975817955695,1537.4999999999998,-412.5000000000002,True
187,2025-11-14,p,6635.0,6595.0,2812.5,15,390,2812.5,2812.5,1,0.18230000000000002,HELDOUT,2811.022536985895,2812.5,1650.0,True
188,2025-11-18,c,6675.0,6715.0,3262.5000000000005,15,116,-2399.9999999999995,3262.5000000000005,1,0.19010000000000002,HELDOUT,3195.17973230052,2614.113187972882,-449.9999999999991,True
189,2025-11-21,c,6620.0,6660.0,3862.5,15,119,-4125.000000000002,3862.5,1,0.2872,HELDOUT,-657.532890221557,-657.532890221557,-5250.000000000002,True
190,2025-11-21,p,6540.0,6500.0,1987.5,15,392,1987.5,1987.5,1,0.2872,HELDOUT,1987.2837290377222,1987.5,1462.5,True
191,2025-11-24,p,6610.0,6570.0,2362.5,15,393,2362.5,2362.5,1,0.2249,HELDOUT,2362.311069098303,2362.5,2062.5,True
192,2025-11-25,p,6655.0,6615.0,1687.4999999999998,15,394,1687.4999999999998,1687.4999999999998,1,0.14529999999999998,HELDOUT,1687.3747721146804,1687.4999999999998,1237.4999999999998,True
193,2025-11-26,p,6780.0,6740.0,1087.5,15,390,1087.5,1087.5,1,0.1143,HELDOUT,1087.287818854359,1087.5,562.5,True
