day,side,reason,D_exit,pmkt,p_model,actual,held,settle_beyond,era,delta_if_override
2025-05-08,p,sr_inner_breach,1.819,0.7173,0.9082486718957821,-1050.0,-15547.5,0,HELD-OUT(calib+valid),-14497.5
2025-05-20,p,risk_off_reversal,2.19,0.7921,0.9071039961323422,-150.0,1612.5,1,HELD-OUT(calib+valid),1762.5
2025-05-21,p,risk_off_reversal,1.752,0.6958,0.6748675514810878,-2700.0,-44407.5,0,HELD-OUT(calib+valid),-41707.5
2025-05-22,p,risk_off_reversal,2.353,0.8259,0.8538161106866323,599.9999999999995,3037.5,1,HELD-OUT(calib+valid),2437.5000000000005
2025-05-29,c,risk_off_reversal,2.551,0.9439,0.91407977205334,1650.0,2437.5,1,HELD-OUT(calib+valid),787.5
2025-05-30,p,risk_off_reversal,1.468,0.6063,0.763713667039211,-4350.0,2362.5,1,HELD-OUT(calib+valid),6712.5
2025-05-30,c,risk_off_reversal,1.699,0.7831,0.857439905386372,-3074.999999999999,1987.5,1,HELD-OUT(calib+valid),5062.499999999999
2025-06-04,c,risk_off_reversal,1.855,0.8366,0.7921449083066341,300.0,1462.5,1,HELD-OUT(calib+valid),1162.5
2025-06-09,p,risk_off_reversal,5.898,0.9995,0.9915922004887261,1199.9999999999998,1312.5,1,HELD-OUT(calib+valid),112.50000000000023
2025-06-13,c,risk_off_reversal,1.437,0.7225,0.7420640765330653,-4500.0,1912.5,1,HELD-OUT(calib+valid),6412.5
2025-06-13,p,risk_off_reversal,2.569,0.8682,0.8542530470933546,-1274.9999999999993,1312.5,1,HELD-OUT(calib+valid),2587.499999999999
2025-06-17,p,risk_off_reversal,2.136,0.7716,0.839996500506812,-525.0,1462.5,1,HELD-OUT(calib+valid),1987.5
2025-06-27,p,risk_off_reversal,3.107,0.9324,0.9624212626301841,-2.2737367544323206e-13,1162.5,1,HELD-OUT(calib+valid),1162.5000000000002
2025-06-30,c,risk_off_reversal,1.751,0.8147,0.8731884307843674,-299.9999999999993,1687.5,1,HELD-OUT(calib+valid),1987.4999999999993
2025-07-01,c,sr_inner_breach,1.451,0.7284,0.7612477417325935,-1425.0,1237.5,1,HELD-OUT(calib+valid),2662.5
2025-07-01,p,sr_inner_breach,2.551,0.8683,0.9413630823859933,-75.0,1012.5,1,HELD-OUT(calib+valid),1087.5
2025-07-08,c,sr_inner_breach,1.279,0.6667,0.6756082619930485,-900.0,1387.5,1,HELD-OUT(calib+valid),2287.5
2025-07-09,c,risk_off_reversal,2.272,0.9107,0.8514999569386613,-75.0,787.5,1,HELD-OUT(calib+valid),862.5
2025-07-11,p,risk_off_reversal,1.988,0.7451,0.8331121858655699,-2325.0,1837.5,1,HELD-OUT(calib+valid),4162.5
2025-07-16,c,sr_inner_breach,1.424,0.7162,0.6004781261397943,-674.9999999999998,1012.5,1,HELD-OUT(calib+valid),1687.4999999999998
2025-07-21,p,risk_off_reversal,4.375,0.9903,0.9537163471000442,825.0,1312.5,1,HELD-OUT(calib+valid),487.5
2025-07-24,p,risk_off_reversal,1.851,0.7166,0.8353058689976487,-450.0000000000002,1387.5,1,HELD-OUT(calib+valid),1837.5000000000002
2025-07-28,c,sr_inner_breach,1.377,0.7028,0.8110007697878694,-450.0,937.5,1,HELD-OUT(calib+valid),1387.5
2025-08-08,p,risk_off_reversal,1.756,0.6878,0.8389811296279701,-1499.9999999999998,1237.5,1,HELD-OUT(calib+valid),2737.5
2025-08-11,c,sr_inner_breach,1.8,0.8147,0.8771744461708909,-299.99999999999994,412.5,1,HELD-OUT(calib+valid),712.5
2025-08-13,c,risk_off_reversal,4.091,0.9964,0.9504782033355812,599.9999999999999,787.5,1,HELD-OUT(calib+valid),187.5000000000001
2025-08-14,p,risk_off_reversal,2.459,0.8409,0.8905476012670497,-375.0,1237.5,1,HELD-OUT(calib+valid),1612.5
2025-08-18,c,sr_inner_breach,1.289,0.6675,0.6553068975562264,-300.0,487.5,1,HELD-OUT(calib+valid),787.5
2025-08-19,p,risk_off_reversal,1.771,0.6756,0.7048913656465626,-299.9999999999998,-18412.5,0,HELD-OUT(calib+valid),-18112.5
2025-08-21,p,risk_off_reversal,2.324,0.8171,0.8676867960704805,-750.0000000000005,2212.5,1,HELD-OUT(calib+valid),2962.5000000000005
2025-08-21,c,sr_inner_breach,1.748,0.8041,0.6556434522008892,-1049.9999999999995,1312.5,1,HELD-OUT(calib+valid),2362.4999999999995
2025-08-25,p,sr_inner_breach,1.762,0.6977,0.8295234353685564,75.0,187.5,0,HELD-OUT(calib+valid),112.5
2025-08-26,p,risk_off_reversal,3.362,0.9521,0.9684864656232369,674.9999999999998,1237.5,1,HELD-OUT(calib+valid),562.5000000000002
2025-08-27,p,risk_off_reversal,2.975,0.9166,0.9097145023482357,-75.0,1162.5,1,HELD-OUT(calib+valid),1237.5
2025-09-03,c,sr_inner_breach,1.375,0.6989,0.6005911806847604,-524.9999999999999,787.5,1,HELD-OUT(calib+valid),1312.5
2025-09-04,c,sr_inner_breach,1.113,0.5873,0.4907733833461178,-1050.0,-31087.5,0,HELD-OUT(calib+valid),-30037.5
2025-09-08,p,risk_off_reversal,1.546,0.6271,0.8023587832572983,-1050.0000000000005,1162.5,1,HELD-OUT(calib+valid),2212.5000000000005
2025-09-08,c,sr_inner_breach,1.605,0.7568,0.8070584436568465,-299.9999999999999,562.5,1,HELD-OUT(calib+valid),862.4999999999999
2025-09-09,c,sr_inner_breach,1.522,0.7511,0.6706657651354004,-375.0,937.5,1,HELD-OUT(calib+valid),1312.5
2025-09-09,p,sr_inner_breach,2.269,0.8172,0.8645441839562097,-224.9999999999999,787.5,1,HELD-OUT(calib+valid),1012.4999999999999
2025-09-10,p,risk_off_reversal,1.645,0.654,0.6183404706206773,-1500.0,1387.5,1,HELD-OUT(calib+valid),2887.5
2025-09-10,c,sr_inner_breach,1.644,0.7839,0.7601865435190865,-374.9999999999999,787.5,1,HELD-OUT(calib+valid),1162.5
2025-09-12,p,sr_inner_breach,1.387,0.5742,0.7358555987653957,-1350.0000000000005,862.5,1,HELD-OUT(calib+valid),2212.5000000000005
2025-09-15,p,risk_off_reversal,2.215,0.795,0.9304603385754083,-225.0000000000001,562.5,1,HELD-OUT(calib+valid),787.5000000000001
2025-09-16,c,sr_inner_breach,1.781,0.8193,0.8597697508226648,375.0,937.5,1,HELD-OUT(calib+valid),562.5
2025-09-18,p,risk_off_reversal,1.85,0.7147,0.7683835180151286,374.9999999999998,2062.5,1,HELD-OUT(calib+valid),1687.5000000000002
2025-09-19,c,sr_inner_breach,0.993,0.5474,0.5916524596618218,149.99999999999977,-2797.5,0,HELD-OUT(calib+valid),-2947.5
2025-09-25,p,risk_off_reversal,2.626,0.8768,0.8274513301450532,-450.0,1837.5,1,HELD-OUT(calib+valid),2287.5
2025-09-26,c,risk_off_reversal,1.486,0.7376,0.6834652649692311,225.0,1837.5,1,HELD-OUT(calib+valid),1612.5
2025-09-30,p,risk_off_reversal,1.94,0.7446,0.7505385833706527,-1349.9999999999998,1312.5,1,HELD-OUT(calib+valid),2662.5
2025-10-02,c,risk_off_reversal,2.257,0.9037,0.8902914992286164,900.0,1387.5,1,HELD-OUT(calib+valid),487.5
2025-10-03,p,risk_off_reversal,1.796,0.707,0.7948778922024179,-75.00000000000045,1312.5,1,HELD-OUT(calib+valid),1387.5000000000005
2025-10-03,c,sr_inner_breach,1.872,0.8251,0.890094289718723,-600.0,562.5,1,HELD-OUT(calib+valid),1162.5
2025-10-15,p,risk_off_reversal,2.007,0.7499,0.8329046268434954,-524.9999999999998,1612.5,1,HELD-OUT(calib+valid),2137.5
2025-10-24,p,risk_off_reversal,1.927,0.7335,0.9266210647701928,-750.0,1312.5,1,HELD-OUT(calib+valid),2062.5
2025-10-27,p,risk_off_reversal,1.346,0.5447,0.7306272906470069,-1125.0,1387.5,1,HELD-OUT(calib+valid),2512.5
2025-11-05,p,risk_off_reversal,23.322,1.0,0.9910215263976406,2175.0,2287.5,1,HELD-OUT(calib+valid),112.5
2025-11-06,c,sr_inner_breach,1.461,0.7203,0.40339215914080556,-2700.0,2962.5,1,HELD-OUT(calib+valid),5662.5
2025-11-07,c,risk_off_reversal,2.657,0.9523,0.9524777075745554,1875.0,-17917.5,0,HELD-OUT(calib+valid),-19792.5
2025-11-10,c,risk_off_reversal,1.199,0.6352,0.7974826381364355,-1049.9999999999998,-23992.5,0,HELD-OUT(calib+valid),-22942.5
2025-11-11,c,risk_off_reversal,1.448,0.7272,0.7103814617449616,-600.0,937.5,1,HELD-OUT(calib+valid),1537.5
2025-11-18,c,risk_off_reversal,1.679,0.7958,0.7889048686421761,-2399.9999999999995,3262.5,1,HELD-OUT(calib+valid),5662.5
2025-11-21,c,risk_off_reversal,1.084,0.5883,0.5691895317077578,-4125.000000000002,3862.5,1,HELD-OUT(calib+valid),7987.500000000002
